coupon,ISIN,issue date,maturity date,j10,j11,j12,j13,j14,j17,j18,j19,j20,j21
0.01750 ,CA135087H490,2017-10-06,2023-03-01,100.94,100.93,100.91,100.88,100.87,100.82,100.74,100.7,100.71,100.75
0.0150 ,CA135087A610,2012/7/30,2023-06-01,100.71,100.7,100.7,100.65,100.64,100.58,100.48,100.41,100.41,100.45
0.02250 ,CA135087J546,2018-10-05,2024-03-01,101.82,101.8,101.77,102.24,102.24,102.12,101.98,101.88,101.91,101.96
0.01500 ,CA135087J967,2019-04-05,2024-09-01,100.56,100.63,100.18,100.66,100.66,100.48,100.37,100.25,100.25,100.27
0.01250 ,CA135087K528,2019-10-11,2025-03-01,99.64,99.67,99.61,100.39,100.39,100.39,100.39,100.39,100.39,100.39
0.00500 ,CA135087K940,2020-04-03,2025-09-01,96.81,96.72,96.77,96.69,96.74,96.58,96.38,96.07,96.14,96.23
0.00250 ,CA135087L518,2020-10-09,2026-03-01,95.11,95.17,95.12,95.08,95.16,94.93,94.75,94.41,94.45,94.6
0.01000 ,CA135087L930,2021-04-16,2026-09-01,97.66,97.7,97.67,97.54,97.64,97.38,97.17,96.79,96.83,97
0.01250 ,CA135087M847,2021-10-15,2027-03-01,97.91,97.98,97.9,98.35,98.42,98.1,97.87,97.58,97.73,97.96
0.0100 ,CA135087F825,2016-08-03,2027-06-01,97.18,97.28,97.32,97.24,97.35,97.05,96.8,96.38,96.42,96.59
